date,value
2016-01-04,11.989583214124
2016-01-16,12.0554167032242
2016-01-17,12.0879167715708
2016-01-18,12.1070832014084
2016-01-19,12.1054166555405
2016-01-20,12.1349999109904
2016-01-21,12.1670833428701
2016-01-22,12.1583331425985
2016-01-23,12.1687499682109
2016-01-30,12.371250073115
2016-01-31,12.3908332586288
2016-02-01,12.4329166412354
2016-02-02,12.4941665728887
2016-02-03,12.5120834112167
2016-02-04,12.5416667064031
2016-02-05,12.5416667064031
2016-02-06,12.5658334493637
2016-02-11,12.3495832681656
2016-02-12,12.46875
2016-02-13,12.4733332395554
2016-02-14,12.4687501192093
2016-02-15,12.4908331632614
2016-02-16,12.4749997854233
2016-02-17,12.4470831155777
2016-02-18,12.4499998490016
2016-02-19,12.4704165061315
2016-02-20,12.4654166698456
2016-02-21,12.5000000397364
2016-02-22,12.5508335431417
2016-02-23,12.5420833428701
2016-02-24,12.5370832681656
2016-02-25,12.5075001319249
2016-02-26,12.4895831346512
2016-02-27,12.4749999841054
2016-02-28,12.4808333317439
2016-02-29,12.465416709582
2016-03-01,12.4620831807454
2016-03-02,12.4699997901917
2016-03-03,12.4787499507268
2016-03-04,12.483333309491501
2016-03-05,12.5025000572205
2016-03-06,12.5108335812887
2016-03-07,12.4945832093557
2016-03-08,12.4849998950958
2016-03-09,12.4795832236608
2016-03-10,12.4949999650319
2016-03-11,12.5195835431417
2016-03-12,12.518333474795
2016-03-13,12.5100002288818
2016-03-14,12.5208333730698
2016-03-15,12.5504168669383
2016-03-16,12.5641667445501
2016-03-17,12.5650000969569
2016-03-18,12.5766667524974
2016-03-19,12.6104167699814
2016-03-20,12.6316668192546
2016-03-21,12.6370832125346
2016-03-22,12.6645832459132
2016-03-23,12.6908333301544
2016-03-24,12.6879166762034
2016-03-25,12.7112498283386
2016-03-26,12.7520831425985
2016-03-28,12.8162501255671
2016-04-01,12.8054166634878
2016-04-02,12.8166666825612
2016-04-03,12.8504167000453
2016-04-04,12.8983334302902
2016-04-05,12.9304167032242
2016-04-06,12.9491664568583
2016-04-07,12.9374998807907
2016-04-08,12.8974999586741
2016-04-09,12.8670833110809
2016-04-10,12.847916841507
2016-04-11,12.8141668637594
2016-04-12,12.8016668955485
2016-04-13,12.7829166650772
2016-04-14,12.7720835208893
2016-04-15,12.7225000858307
2016-04-16,12.6829168001811
2016-04-17,12.6583331425985
2016-04-18,12.6183332999547
2016-04-19,12.6066665649414
2016-04-20,12.5887501239777
2016-04-21,12.5624999205271
2016-04-22,12.5454167524974
2016-04-23,12.5254167318344
2016-04-24,12.4866665204366
2016-04-25,12.4391665458679
2016-04-26,12.4070831934611
2016-04-27,12.3666665554047
2016-04-28,12.3320833047231
2016-04-29,12.3083333174388
2016-04-30,12.3320833444595
2016-05-01,12.3508334159851
2016-05-02,12.355416615804
2016-05-03,12.3508334159851
2016-05-04,12.2991665999095
2016-05-05,12.2579168081284
2016-05-06,12.2462499141693
2016-05-07,12.2379163901011
2016-05-08,12.2208333810171
2016-05-09,12.1945830980937
2016-05-10,12.1624999046326
2016-05-11,12.1208332379659
2016-05-12,12.0887500842412
2016-05-13,12.0470832983653
2016-05-14,11.9674999713898
2016-05-19,12.4629167715708
2016-05-20,11.6404167016347
2016-05-21,11.5129167238871
2016-05-22,11.4687499602636
2016-05-23,11.4416664838791
2016-05-26,11.210000038147
2016-05-27,11.202916542689
2016-05-28,11.1929163535436
2016-05-29,11.1870832045873
2016-05-30,11.1933329900106
2016-05-31,11.1933330694834
2016-06-01,11.1966663996379
2016-06-02,11.1999998092651
2016-06-03,11.2183332443237
2016-06-04,11.2487499713898
2016-06-05,11.2833333810171
2016-06-06,11.3241668542226
2016-06-07,11.3658334811529
2016-06-08,11.4158331155777
2016-06-09,11.4620831807454
2016-06-10,11.5037499666214
2016-06-11,11.5445832014084
2016-06-12,11.5912499030431
2016-06-13,11.6333332459132
2016-06-14,11.681666692098
2016-06-15,11.7429167032242
2016-06-16,11.8029166460037
2016-06-17,11.8791666428248
2016-06-18,11.941249926885
2016-06-19,12.0162500143051
2016-06-20,12.0949999888738
2016-06-21,12.1783332824707
2016-06-22,12.2624999284744
2016-06-23,12.383749961853
2016-06-24,12.5045833587646
2016-06-25,12.6341666380564
2016-06-26,12.7437498966853
2016-06-27,12.8425000905991
2016-06-28,12.9374999205271
2016-06-29,13.012499888738
2016-06-30,13.1124999523163
2016-07-01,13.2224999666214
2016-07-02,13.3320833444595
2016-07-03,13.4120833873749
2016-07-04,13.508749961853
2016-07-05,13.603333234787
2016-07-06,13.693749944369
2016-07-07,13.7662500143051
2016-07-08,13.8529166777929
2016-07-09,13.9141665697098
2016-07-10,13.997083346049
2016-07-11,14.1283333698908
2016-07-12,14.2079164981842
2016-07-13,14.2433331807454
2016-07-14,14.2399997711182
2016-07-15,14.2366664807002
2016-07-16,14.2429165840149
2016-07-17,14.2729168335597
2016-07-18,14.2933333714803
2016-07-19,14.3204168876012
2016-07-20,14.3999999364217
2016-07-21,14.5104167064031
2016-07-22,14.6124999920527
2016-07-23,14.7066666285197
2016-07-24,14.802916765213
2016-07-25,14.914999961853
2016-07-26,15.0329166650772
2016-07-27,15.1704166332881
2016-07-28,15.3083333174388
2016-07-29,15.4483333428701
2016-07-30,15.5954166650772
2016-07-31,15.7324999570847
2016-08-01,15.8408334652583
2016-08-02,15.921249906222
2016-08-03,15.9791666269302
2016-08-04,16.053750038147
2016-08-05,16.1029167175293
2016-08-06,16.1666666666667
2016-08-07,16.2083334128062
2016-08-08,16.2787501017253
